100000 36 5
3.482	253		0		0		0		0
0.019	198		55		0		0		0
1.202	296		0		0		0		0
1.849	241		55		0		0		0
0.322	43		253		0		0		0
0.002	43		198		55		0		0
0.089	55		296		0		0		0
0.137	55		241		55		0		0
0.024	55		43		253		0		0
0.489	229		67		55		0		0
0.764	229		122		0		0		0
70.447	388		0		0		0		0
14.864	333		55		0		0		0
0.453	266		122		0		0		0
0.290	266		67		55		0		0
0.123	92		296		0		0		0
0.189	92		241		55		0		0
0.033	92		43		253		0		0
0.014	37		229		122		0		0
0.002	37		55		241		55		0
0.001	37		55		296		0		0
0.001	37		55		43		253		0
0.016	65		55		296		0		0
0.025	65		55		241		55		0
0.004	65		55		43		253		0
0.089	65		229		67		55		0
0.139	65		229		122		0		0
1.928	321		122		0		0		0
1.233	321		67		55		0		0
1.443	55		388		0		0		0
0.304	55		333		55		0		0
0.009	55		266		122		0		0
0.006	55		266		67		55		0
0.003	55		92		296		0		0
0.004	55		92		241		55		0
0.001	55		92		43		253		0
